,Item,Prices,Rating
0,Dell Inspiron,2000,1
1,Dell Inspiron,2000,1
2,Dell Inspiron,2000,4
3,Dell Inspiron,2000,1
4,Dell Inspiron,2000,0
5,Dell Inspiron,2000,1
6,Dell Inspiron,2000,2
7,Dell Inspiron,2000,5
8,Dell Inspiron,2000,2
9,Dell Inspiron,2000,2
10,Dell Inspiron,2000,0
11,Dell Inspiron,2000,1
12,Dell Inspiron,2000,3
13,Dell Inspiron,2000,0
14,Dell Inspiron,2000,3
15,Dell Inspiron,2000,5
16,Dell Inspiron,2000,2
17,Dell Inspiron,2000,4
18,Dell Inspiron,2000,1
19,Dell Inspiron,2000,4
20,Dell Inspiron,2000,3
21,Dell Inspiron,2000,1
22,Dell Inspiron,2000,0
23,Dell Inspiron,2000,0
24,Dell Inspiron,2000,2
25,Dell Inspiron,2000,1
26,Dell Inspiron,2000,0
27,Dell Inspiron,2000,4
28,Dell Inspiron,2000,1
29,Dell Inspiron,2000,2
30,Dell Inspiron,2000,3
31,Dell Inspiron,2000,2
32,Dell Inspiron,2000,3
33,Dell Inspiron,2000,3
34,Dell Inspiron,2000,3
35,Dell Inspiron,2000,4
36,Dell Inspiron,2000,3
37,Dell Inspiron,2000,3
38,Dell Inspiron,2000,4
39,Dell Inspiron,2000,0
40,Dell Inspiron,2000,3
41,Dell Inspiron,2000,4
42,Dell Inspiron,2000,4
43,Dell Inspiron,2000,0
44,Dell Inspiron,2000,4
45,Dell Inspiron,2000,4
46,Dell Inspiron,2000,2
47,Dell Inspiron,2000,2
48,Dell Inspiron,2000,2
49,Dell Inspiron,2000,0
50,Dell Inspiron,2000,5
51,Dell Inspiron,2000,5
52,Dell Inspiron,2000,3
53,Dell Inspiron,2000,4
54,Dell Inspiron,2000,0
55,Dell Inspiron,2000,0
56,Dell Inspiron,2000,2
57,Dell Inspiron,2000,1
58,Dell Inspiron,2000,5
59,Dell Inspiron,2000,0
60,Dell Inspiron,2000,1
61,Dell Inspiron,2000,0
62,Dell Inspiron,2000,4
63,Dell Inspiron,2000,1
64,Dell Inspiron,2000,3
65,Dell Inspiron,2000,5
66,Dell Inspiron,2000,2
67,Dell Inspiron,2000,2
68,Dell Inspiron,2000,2
69,Dell Inspiron,2000,2
70,Dell Inspiron,2000,0
71,Dell Inspiron,2000,1
72,Dell Inspiron,2000,0
73,Dell Inspiron,2000,3
74,Dell Inspiron,2000,5
75,Dell Inspiron,2000,4
76,Dell Inspiron,2000,5
77,Dell Inspiron,2000,1
78,Dell Inspiron,2000,5
79,Dell Inspiron,2000,4
80,Dell Inspiron,2000,3
81,Dell Inspiron,2000,4
82,Dell Inspiron,2000,1
83,Dell Inspiron,2000,0
84,Dell Inspiron,2000,3
85,Dell Inspiron,2000,0
86,Dell Inspiron,2000,1
87,Dell Inspiron,2000,2
88,Dell Inspiron,2000,5
89,Dell Inspiron,2000,5
90,Dell Inspiron,2000,0
91,Dell Inspiron,2000,2
92,Dell Inspiron,2000,3
93,Dell Inspiron,2000,0
94,Dell Inspiron,2000,0
95,Dell Inspiron,2000,3
96,Dell Inspiron,2000,1
97,Dell Inspiron,2000,0
98,Dell Inspiron,2000,5
99,Dell Inspiron,2000,5
100,Dell Inspiron,2000,0
101,Dell Inspiron,2000,3
102,Dell Inspiron,2000,2
103,Dell Inspiron,2000,1
104,Dell Inspiron,2000,2
105,Dell Inspiron,2000,2
106,Dell Inspiron,2000,0
107,Dell Inspiron,2000,1
108,Dell Inspiron,2000,4
109,Dell Inspiron,2000,2
110,Dell Inspiron,2000,3
111,Dell Inspiron,2000,4
112,Dell Inspiron,2000,5
113,Dell Inspiron,2000,3
114,Dell Inspiron,2000,4
115,Dell Inspiron,2000,3
116,Dell Inspiron,2000,4
117,Dell Inspiron,2000,1
118,Dell Inspiron,2000,1
119,Dell Inspiron,2000,2
120,Dell Inspiron,2000,5
121,Dell Inspiron,2000,1
122,Dell Inspiron,2000,3
123,Dell Inspiron,2000,3
124,Dell Inspiron,2000,1
125,Dell Inspiron,2000,5
126,Dell Inspiron,2000,5
127,Dell Inspiron,2000,5
128,Dell Inspiron,2000,3
129,Dell Inspiron,2000,4
130,Dell Inspiron,2000,1
131,Dell Inspiron,2000,0
132,Dell Inspiron,2000,2
133,Dell Inspiron,2000,2
134,Dell Inspiron,2000,3
135,Dell Inspiron,2000,3
136,Dell Inspiron,2000,1
137,Dell Inspiron,2000,0
138,Dell Inspiron,2000,4
139,Dell Inspiron,2000,4
140,Dell Inspiron,2000,2
141,Dell Inspiron,2000,5
142,Dell Inspiron,2000,2
143,Dell Inspiron,2000,0
144,Dell Inspiron,2000,1
145,Dell Inspiron,2000,3
146,Dell Inspiron,2000,3
147,Dell Inspiron,2000,3
148,Dell Inspiron,2000,4
149,Dell Inspiron,2000,4
150,Dell Inspiron,2000,5
151,Dell Inspiron,2000,3
152,Dell Inspiron,2000,3
153,Dell Inspiron,2000,3
154,Dell Inspiron,2000,1
155,Dell Inspiron,2000,5
156,Dell Inspiron,2000,4
157,Dell Inspiron,2000,0
158,Dell Inspiron,2000,2
159,Dell Inspiron,2000,0
160,Dell Inspiron,2000,5
161,Dell Inspiron,2000,2
162,Dell Inspiron,2000,3
163,Dell Inspiron,2000,4
164,Dell Inspiron,2000,5
165,Dell Inspiron,2000,2
166,Dell Inspiron,2000,1
167,Dell Inspiron,2000,2
168,Dell Inspiron,2000,5
169,Dell Inspiron,2000,0
170,Dell Inspiron,2000,1
171,Dell Inspiron,2000,5
172,Dell Inspiron,2000,4
173,Dell Inspiron,2000,1
174,Dell Inspiron,2000,2
175,Dell Inspiron,2000,1
176,Dell Inspiron,2000,2
177,Dell Inspiron,2000,0
178,Dell Inspiron,2000,4
179,Dell Inspiron,2000,4
180,Dell Inspiron,2000,3
181,Dell Inspiron,2000,2
182,Dell Inspiron,2000,2
183,Dell Inspiron,2000,5
184,Dell Inspiron,2000,0
185,Dell Inspiron,2000,4
186,Dell Inspiron,2000,3
187,Dell Inspiron,2000,4
188,Dell Inspiron,2000,4
189,Dell Inspiron,2000,5
190,Dell Inspiron,2000,4
